word1,word2,relatedness
late,time,1.200496854
coffee,latte,1.838535291
coffee,late,-0.164915081
latte,shop,0.099673274
late,shop,0.147724513
latte,you'll,-1.033399543
late,you'll,-0.466902009
latte,work,-0.262727015
late,work,0.676276652
libel,libel,0.0
liable,libel,0.0
libel,write,0.253432196
liable,write,-0.518143508
bad,libel,0.434544881
bad,liable,0.213244842
libel,things,-0.783779476
liable,things,-0.674633301
libel,sue,1.702812138
liable,sue,1.03866012
tryst,tryst,0.0
tryst,twist,0.0
novel,tryst,-0.740461126
novel,twist,0.713492747
tryst,unexpected,-0.384531457
twist,unexpected,1.62548606
secret,tryst,0.203059995
secret,twist,0.264869073
meeting,tryst,0.283346607
meeting,twist,-0.713061639
lovers,tryst,1.09218497
lovers,twist,-0.605937267
plot,tryst,-0.620082612
plot,twist,0.655905037
propane,propane,0.0
profane,propane,0.0
inflammatory,propane,0.524274451
inflammatory,profane,0.537788401
propane,talk,-0.820549264
profane,talk,0.638659276
propane,seen,0.298342534
profane,seen,-0.431107244
language,propane,-0.975849504
language,profane,0.813567976
leafing,leafing,0.0
leafing,leaving,0.0
john,leafing,-0.930865719
john,leaving,-0.732594277
leafing,plans,0.664976109
leaving,plans,0.076967923
leafing,retire,-1.00566682
leaving,retire,0.641089708
leafing,spring,0.557250604
leaving,spring,-0.511549743
leafing,like,-0.660585383
leaving,like,0.082140175
leafing,trees,1.209997602
leaving,trees,-0.476044827
yams,yams,0.0
Lambs,yams,0.0
just,yams,-0.768492084
Lambs,just,-0.934888345
time,yams,-0.981517464
Lambs,time,0.021541304
thanksgiving,yams,1.212957909
Lambs,thanksgiving,-0.425702503
blockbuster,yams,-0.820549264
Lambs,blockbuster,-0.872240425
movie,yams,-0.711983357
Lambs,movie,-0.097078622
sweet,yams,0.677385511
Lambs,sweet,0.053858171
potatoes,yams,1.353283713
Lambs,potatoes,-0.268920404
called,yams,-0.773975142
Lambs,called,-0.629178616
the,yams,-0.554968549
Lambs,the,-0.643381484
silence,yams,-0.93384429
Lambs,silence,0.490500931
tolkien,tolkien,0.0
talking,tolkien,0.0
night,tolkien,-0.421807519
night,talking,-0.284385257
kept,tolkien,-0.910268591
kept,talking,-0.487771094
dreaming,tolkien,-0.13577103
dreaming,talking,-0.35620347
tolkien,written,0.446306691
talking,written,0.657206796
lord,tolkien,1.160735078
lord,talking,-0.456126881
rings,tolkien,1.387542586
rings,talking,-0.938879858
tolkien,wife,-0.607085823
talking,wife,0.180393523
said,tolkien,-0.416466233
said,talking,1.559672555
i'd,tolkien,-0.866508438
i'd,talking,-0.768492084
sleep,tolkien,-0.659335913
sleep,talking,-0.549401899
magnate,magnate,0.0
magnate,magnet,0.0
magnate,people,-0.431309807
magnet,people,-0.033286014
magnate,strongly,0.205205301
magnet,strongly,0.624197061
attracted,magnate,0.279602196
attracted,magnet,0.432189381
raven,raven,0.0
raven,raving,0.0
people,raven,-0.692477372
people,raving,0.051942857
raven,think,-0.547426766
raving,think,-0.366756378
edgar,raven,0.755989354
edgar,raving,0.668814932
allan,raven,0.05910036
allan,raving,-0.860964863
poe,raven,1.347726463
poe,raving,-0.146664918
madman,raven,0.102235812
madman,raving,1.408360872
alkaline,alkaline,0.0
alcohol,alkaline,0.0
alkaline,battery,1.206701171
alcohol,battery,-0.792668572
alkaline,problem,-0.860713606
alcohol,problem,0.867494647
alkaline,went,-0.731474167
alcohol,went,-0.800999628
aa,alkaline,1.043341239
aa,alcohol,1.622194218
alkaline,meetings,-1.072710013
alcohol,meetings,0.198383999
shave,shave,0.0
shave,slave,0.0
boss,shave,-0.507400464
boss,slave,1.072828636
not,shave,-0.891280856
not,slave,-0.47745673
shave,tolerate,-0.737205823
slave,tolerate,-0.613686324
beards,shave,0.734259357
beards,slave,0.288613041
mustaches,shave,1.325039479
mustaches,slave,-0.865224467
real,shave,-0.664275018
real,slave,-0.3940021
driver,shave,-0.643777786
driver,slave,0.272936473
aiken,aiken,0.0
aching,aiken,0.0
aiken,heart,-0.724771037
aching,heart,0.661308045
aiken,starts,-0.748234784
aching,starts,-0.643347041
aiken,clay,1.199433985
aching,clay,-0.415952447
aiken,sings,0.441021487
aching,sings,-0.710184521
irrigation,irrigation,0.0
irrigation,irritation,0.0
irrigation,neighbor's,-0.730225151
irritation,neighbor's,-0.269612334
irrigation,sprinkler,1.742975516
irritation,sprinkler,-0.685323601
constant,irrigation,-0.510609373
constant,irritation,0.187268811
auntie,auntie,0.0
ante,auntie,0.0
auntie,uncles,1.798489909
ante,uncles,-0.55978999
auntie,bet,-0.827928535
ante,bet,0.057568964
auntie,get,-1.015647941
ante,get,-0.610300289
auntie,married,-0.203961453
ante,married,-1.055707502
auntie,upped,-0.802963762
ante,upped,1.005601192
fuchsia,fuchsia,0.0
fuchsia,future,0.0
fuchsia,new,-0.870415876
future,new,0.425859064
fuchsia,years,-0.950474383
future,years,0.794137854
fuchsia,resolution,-0.686168064
future,resolution,0.401406128
bankrupt,fuchsia,-0.980582098
bankrupt,future,0.111994684
fuchsia,gardener,-0.025247262
future,gardener,-0.594976527
forget,fuchsia,-0.843243559
forget,future,-0.184145143
fuchsia,past,-1.001058143
future,past,1.353347814
fuchsia,rely,-0.768492084
future,rely,-0.828824356
till,till,0.0
tell,till,0.0
organic,till,-0.061528485
organic,tell,-0.622130709
farms,till,1.384527455
farms,tell,-0.928333605
like,till,-0.785873486
like,tell,-0.154158423
house,house,0.0
house,how's,0.0
house,real,-0.688196007
how's,real,-0.617130283
estate,house,1.351042085
estate,how's,-1.028844296
agent,house,-0.031082829
agent,how's,-0.768492084
house,said,-0.757080802
how's,said,-0.888097097
going,house,-0.330278008
going,how's,0.279061587
eire,eire,0.0
eire,fire,0.0
eire,people,-0.552208408
fire,people,-0.080619354
eire,happy,-0.676615169
fire,happy,-0.337994211
eire,time,-0.736867675
fire,time,-0.512384139
eire,vacationing,-0.58497285
fire,vacationing,-0.773259387
eire,ireland,0.259286594
fire,ireland,-0.805463266
eire,walking,-0.761443572
fire,walking,-0.564388988
alp,alp,0.0
alp,help,0.0
alp,people,-0.708886898
help,people,0.408733728
alp,switzerland,1.454584429
help,switzerland,-0.725940798
alp,learn,-0.89684315
help,learn,0.503757112
alp,ski,1.272672278
help,ski,-0.475677545
alp,lot,-0.581380651
help,lot,-0.472152614
garden,garden,0.0
garden,guarding,0.0
garden,scarecrows,1.197760582
guarding,scarecrows,0.752424307
garden,patch,1.110548584
guarding,patch,-0.566140103
bean,bean,0.0
bean,been,0.0
bean,selling,-0.652661735
been,selling,0.582549294
bean,coffee,1.660317803
been,coffee,-0.584549235
bean,perks,-0.508400531
been,perks,-0.723754513
bean,those,-0.889691066
been,those,-0.506007447
bean,lucky,-0.629772767
been,lucky,-0.132889355
odor,odor,0.0
odor,order,0.0
odor,sign,-0.476426771
order,sign,0.453981087
broken,odor,-0.64930939
broken,order,-0.365706615
odor,perfume,1.349460204
order,perfume,-0.468285923
bottle,odor,-0.175423027
bottle,order,-0.531042077
odor,out,-0.541483176
order,out,-0.051627798
watt,watt,0.0
lot,watt,0.0
sign,watt,-0.505795287
lot,sign,-0.116709271
please,watt,-0.967609746
lot,please,-0.889900822
turn,watt,-0.843243559
lot,turn,-0.19418994
out,watt,-0.658818661
lot,out,-0.472757556
lights,watt,1.688947785
lights,lot,-0.509280299
thanks,watt,-1.005784866
lot,thanks,0.665598477
pest,pest,0.0
best,pest,0.0
children,pest,0.019929402
best,children,-0.453331164
behavior,pest,-0.451721813
behavior,best,0.748248245
crank,crank,0.0
crack,crank,0.0
crank,people,-0.275070284
crack,people,-0.661190249
crank,get,-0.945886353
crack,get,-0.734582003
crank,up,-0.027226409
crack,up,-0.313578599
crank,work,0.065639743
crack,work,-0.362394119
crank,dawn,-0.920411633
crack,dawn,0.572512878
leg,leg,0.0
lag,leg,0.0
leg,planes,-0.935994935
lag,planes,0.158193106
cramped,leg,0.978330987
cramped,lag,-0.466712467
leg,passengers,-0.387229821
lag,passengers,-0.1539718
leg,suffer,-0.641826049
lag,suffer,0.083408856
jet,leg,-0.888097097
jet,lag,1.718372676
decade,decade,0.0
decade,decay,0.0
decade,ten,1.564333095
decay,ten,-0.838154715
decade,years,1.547106667
decay,years,0.713324245
brushing,decade,0.002236756
brushing,decay,0.685656189
causes,decade,-0.866769811
causes,decay,-0.106843409
decade,horrible,-0.600309607
decay,horrible,0.311556838
decade,tooth,-0.472012752
decay,tooth,1.114234322
dramatic,dramatic,0.0
dramatic,traumatic,0.0
actor,dramatic,1.169871747
actor,traumatic,-0.475196786
dramatic,quite,-0.13541323
quite,traumatic,-0.294495253
dramatic,right,-0.560396783
right,traumatic,1.042524858
dramatic,retired,-0.868380626
retired,traumatic,-0.502520343
dramatic,post,-0.235556432
post,traumatic,0.434364099
dramatic,stress,0.265772995
stress,traumatic,1.030537233
disorder,dramatic,0.02321138
disorder,traumatic,0.826936307
grammatic,grammatic,0.0
grammatic,traumatic,0.0
english,grammatic,1.488062983
english,traumatic,-0.909985073
grammatic,teacher,1.192226318
teacher,traumatic,-0.791296213
felt,grammatic,-0.921998765
felt,traumatic,0.260183849
grammatic,odd,-0.638117648
odd,traumatic,-0.343554782
being,grammatic,-0.376811204
being,traumatic,-0.454650381
fired,grammatic,-0.998823601
fired,traumatic,0.747917522
grammatic,post,-0.075704436
grammatic,stress,-0.708221773
disorder,grammatic,-0.789315839
hosta,hosta,0.0
hosta,hostile,0.0
garden,hosta,0.719701453
garden,hostile,-0.684136703
club,hosta,-0.318740743
club,hostile,-0.319810105
hosta,visited,-0.606117901
hostile,visited,-0.802854167
hosta,nursery,0.141802844
hostile,nursery,-1.073214091
found,hosta,-0.526758118
found,hostile,-0.499352325
environment,hosta,-0.603326871
environment,hostile,0.365676139
dublin,dublin,0.0
doubling,dublin,0.0
dublin,irish,1.581972636
doubling,irish,-0.55077486
dublin,rich,0.750602733
doubling,rich,-0.428540969
capital,dublin,0.858460003
capital,doubling,0.240717333
prism,prism,0.0
prism,prison,0.0
optical,prism,0.862760376
optical,prison,-0.785873486
prism,scientist,0.296114396
prison,scientist,-0.513467826
prism,stole,-0.79161182
prison,stole,0.808077941
colleague's,prism,-0.768492084
colleague's,prison,-0.766698457
bifocals,prism,0.156082969
bifocals,prison,-0.073276141
prism,sentenced,-1.030829313
prison,sentenced,1.168777351
prism,three,-0.24627984
prison,three,-0.901873649
prism,years,-0.203757048
prison,years,1.082541942
prism,state,-0.743323488
prison,state,0.585852523
fridge,fridge,0.0
bridge,fridge,0.0
fridge,plumber,-0.091764356
bridge,plumber,-0.768492084
explained,fridge,-0.735554156
bridge,explained,-0.624420972
fridge,problem,-0.642296772
bridge,problem,-0.095965802
fridge,kitchen,1.480104337
bridge,kitchen,-0.604859562
fridge,just,-0.808410373
bridge,just,-0.58529731
fridge,water,0.434760611
bridge,water,1.20972442
fridge,under,-0.524355
bridge,under,0.461293395
thief,thief,0.0
chief,thief,0.0
robber,thief,1.490306763
chief,robber,-0.232999264
baron,thief,-0.162000844
baron,chief,0.33945814
commander,thief,-0.436090311
chief,commander,1.282435225
revolution,revolution,0.0
resolution,revolution,0.0
revolution,satellite,-0.589581762
resolution,satellite,-0.169813127
revolution,went,-0.718832382
resolution,went,-0.556542663
orbit,revolution,0.587169324
orbit,resolution,-0.674633301
january,revolution,-0.629788658
january,resolution,0.391177113
1st,revolution,-0.014723459
1st,resolution,0.162847061
causing,revolution,0.312314307
causing,resolution,-0.005369105
new,revolution,0.901104107
new,resolution,-0.07632358
revolution,year's,0.90086442
resolution,year's,0.890641509
plants,plants,0.0
Pants,plants,0.0
plants,twin,-0.38589311
Pants,twin,-0.678366917
girls,plants,-0.694945616
Pants,girls,-0.292359923
plants,rented,-0.735411976
Pants,rented,-0.776725227
flora,plants,1.641977958
Pants,flora,-0.574013214
offices,plants,0.339348001
Pants,offices,-0.400514965
called,plants,-0.853982066
Pants,called,-0.917305489
business,plants,-0.339603311
Pants,business,0.014473553
plants,sisterhood,-0.773159051
Pants,sisterhood,0.092858957
plants,traveling,-1.035775607
Pants,traveling,0.251272811
incisor,incisor,0.0
incisor,insider,0.0
dentist,incisor,1.408438937
dentist,insider,-0.769278744
convicted,incisor,-0.777888144
convicted,insider,1.153653783
incisor,trading,-0.908562066
insider,trading,0.635210148
mimes,mimes,0.0
mimes,minds,0.0
mimes,quietest,1.238651008
minds,quietest,-0.398265241
burglars,mimes,-0.860241149
burglars,minds,-0.164260357
history,mimes,-0.77714194
history,minds,-0.090787765
mimes,new,-0.751096084
minds,new,-0.773609685
mimes,york,-0.556025932
minds,york,-0.847554516
city,mimes,-0.55700229
city,minds,-0.491339155
mimes,newspapers,-0.902058306
minds,newspapers,-0.104841691
called,mimes,-0.316985196
called,minds,-0.645971166
criminal,mimes,-0.881673721
criminal,minds,0.8967753
glittering,glittering,0.0
glittering,littering,0.0
glittering,tinker,-0.189314298
littering,tinker,-0.769278744
bell,glittering,-0.440564951
bell,littering,-0.687052082
arrested,glittering,-1.094565172
arrested,littering,0.372458385
being,glittering,-0.737205823
being,littering,-0.811913462
glittering,suspiciously,-0.250587203
littering,suspiciously,-0.614673537
glittering,high,-0.6379605
high,littering,-0.686208141
end,glittering,-0.708886898
end,littering,-0.76231163
glittering,only,-0.682024193
littering,only,-0.791296213
fined,glittering,-0.932223603
fined,littering,0.78383159
altitude,altitude,0.0
altitude,attitude,0.0
altitude,become,-0.929679135
attitude,become,-0.442911135
altitude,pilot,1.791182413
attitude,pilot,-0.149998759
altitude,requires,-0.558837016
attitude,requires,-0.386097938
altitude,good,-0.293776516
attitude,good,0.893129765
presence,presence,0.0
presence,presents,0.0
christmas,presence,-0.049557714
christmas,presents,1.637799199
people's,presence,-0.0751085
people's,presents,-0.346341863
necks,necks,0.0
necks,next,0.0
necks,vampires,1.378436923
next,vampires,-1.00930888
looking,necks,-0.338658039
looking,next,0.134282838
necks,victim,-0.193476629
next,victim,-0.127997301
digestion,digestion,0.0
destruction,digestion,0.0
digestion,villain,-0.855225043
destruction,villain,0.988480057
call,digestion,0.093892454
call,destruction,-0.586608055
digestion,silverware,0.138388152
destruction,silverware,-1.039672234
digestion,weapons,-0.932214604
destruction,weapons,1.774042894
digestion,mass,-0.578788033
destruction,mass,0.766814076
ream,ream,0.0
cream,ream,0.0
brand,ream,-0.883793725
brand,cream,-0.345707956
name,ream,-1.040211454
cream,name,-0.855225043
highest,ream,-0.661081037
cream,highest,-0.504438568
quality,ream,-0.257446601
cream,quality,-0.12479741
copy,ream,0.412031456
copy,cream,-0.902797355
paper,ream,0.479931977
cream,paper,-0.805463266
money,ream,-0.403558994
cream,money,-0.733643118
buy,ream,-0.593921746
buy,cream,-0.540992522
crop,ream,-0.355341607
cream,crop,0.332406402
seize,seize,0.0
see,seize,0.0
get,seize,1.359117125
get,see,0.088392161
author,author,0.0
author,offer,0.0
author,made,-0.044555276
made,offer,0.330747771
author,mario,-0.445062983
mario,offer,-0.58300583
author,puzo's,-0.286843603
offer,puzo's,-0.943495525
author,books,1.509589183
books,offer,-0.209364427
author,required,-0.66068669
offer,required,-0.500990712
author,reading,1.536248836
offer,reading,-0.409127505
author,class,-0.399710837
class,offer,-0.296974995
author,refuse,-0.895111923
offer,refuse,0.703035782
source,source,0.0
sauce,source,0.0
crop,source,0.560526118
crop,sauce,-0.733116391
destroyed,source,-0.679780332
destroyed,sauce,-0.589229771
cranberry,source,-0.886871738
cranberry,sauce,1.288888135
paste,paste,0.0
paste,pays,0.0
paste,use,-0.126965987
pays,use,-0.227360321
glue,paste,0.470554486
glue,pays,-0.362910996
class,paste,-0.227585055
class,pays,-0.619277644
careful,paste,-0.800039275
careful,pays,-0.370146896
espresso,espresso,0.0
espresso,express,0.0
espresso,why,-0.756463027
express,why,-0.56068931
espresso,italians,0.971203413
express,italians,-0.560644721
espresso,good,0.360923675
express,good,-0.604759049
espresso,making,-0.345588794
express,making,-0.291104455
coffee,espresso,1.41195608
coffee,express,0.393883288
espresso,really,-0.650929998
express,really,-0.119510849
espresso,know,-0.553771418
express,know,0.152758547
scents,scents,0.0
scents,sense,0.0
scents,women,0.233857742
sense,women,-0.057864985
scents,wear,0.268609685
sense,wear,-0.705919562
20000,scents,-0.773975142
20000,sense,-0.438374708
perfume,scents,1.363457409
perfume,sense,0.740798005
obviously,scents,-0.806755632
obviously,sense,0.328876648
known,scents,-0.530077167
known,sense,1.382406289
common,scents,-0.46239573
common,sense,0.94058882
lion,owner,-0.571221341
line,owner,0.590250272
lion,takes,-0.731474167
line,takes,2.140015578
lion,share,-0.293792505
line,share,0.499132115
lion,profits,-0.791296213
line,profits,0.052052354
company,lion,-0.477835514
company,line,1.615834465
examines,tooth,0.166825383
examines,truth,1.329249999
time,tooth,-0.827011327
time,truth,-0.388304926
cilia,hairlike,0.870742393
hairlike,sillier,0.666319598
cilia,projections,0.510829971
projections,sillier,-0.594481077
cilia,surface,-0.600363913
sillier,surface,-0.690380914
cells,cilia,0.158261651
cells,sillier,-0.270003413
heir,prince,0.398963786
hair,prince,0.604104081
heir,william,-0.017099358
hair,william,-0.650275049
british,heir,0.577595328
british,hair,-0.331357205
heir,throne,1.660920335
hair,throne,0.15253961
clothing,food,-0.182113649
closing,food,-0.350864355
