idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
0,198,identical,nonpun,2.90031480031e-10,6.72983665086,"We #allowed our son to use the family car."
1,133,identical,nonpun,1.29403924814e-11,7.17877904931,"The student read her poem #aloud in class."
2,219,identical,nonpun,2.33551403322e-13,6.52949515159,"I will #be okay; don't worry."
3,49,identical,pun,0.634978882459,7.99343990412,"You don't want to #bee around a hive for too long."
4,112,identical,nonpun,1.23482144516e-09,7.14757018728,"The old man is alone all the time and is #bored to tears."
5,136,identical,nonpun,3.65196777941e-08,7.46747758365,"#Cached copies of the web pages are stored in the database."
6,193,identical,nonpun,9.32999949603e-07,8.02303172033,"The #caller on the phone is from your bank."
7,201,identical,nonpun,9.44081340224e-09,8.74363325643,"She bought stocks for ten years and then #cashed in her chips."
8,116,identical,nonpun,1.16202970688e-13,8.30443788188,"I bought a new #CD today in classical music."
9,11,identical,pun,2.48182418733e-08,7.85090309134,"Some music stores are in a #CD part of town."
10,216,identical,nonpun,8.47007996545e-08,7.31848442796,"He is so stingy that he would not even let me borrow a #cent."
11,217,identical,nonpun,6.94291006565e-07,6.71287141503,"You have very #coarse hair."
12,128,identical,nonpun,3.15165287816e-07,7.9382504519,"He puts a #collar on his dog before walking it."
13,152,identical,nonpun,1.09996166091e-09,7.4831807242,"I took a #course in school."
14,190,identical,nonpun,1.47320950028e-08,6.61346405944,"I do not give a #damn what you say."
15,187,identical,nonpun,4.7419104196e-15,8.48504689036,"There are seven #days in a week."
16,218,identical,nonpun,1.24358906796e-12,7.27597653505,"You're such a #dear friend."
17,153,identical,nonpun,0.00452427590247,7.4180105635,"There are #deer in the forest."
18,195,identical,nonpun,1.25188959027e-10,8.18031445119,"He is very scared that he will #die of a heart attack. "
19,206,identical,nonpun,1.89035793247e-07,6.51821015902,"It is better to #err on the side of being too safe."
20,44,identical,pun,0.365828453291,8.61157176453,"I'm blind so #eye can't see."
21,149,identical,nonpun,2.24740539886e-05,7.31888971965,"I was poked in the #eye."
22,222,identical,nonpun,1.48388840441e-07,7.5933362581,"The rules of this game are not #fair."
23,157,identical,nonpun,0.000107373434955,6.81820430403,"The #fare had to be paid."
24,197,identical,nonpun,4.35049825125e-06,6.53872456449,"Passing that exam without studying was a real #feat!"
25,132,identical,nonpun,6.02181769478e-11,7.83932165798,"These new shoes are hurting my #feet."
26,221,identical,nonpun,6.48648764467e-14,9.58400118985,"I picked some pretty #flowers that were growing among weeds."
27,148,identical,nonpun,7.14613858856e-08,8.36842022832,"A #grader was hired to score all of the tests."
28,178,identical,nonpun,0.0131092297938,6.77195469256,"There was too much #grease on the plate."
